strategy,sharpe,volatility,mean_return
enet,0.026059166658511657,0.04020667801340866,0.0010477525231365327
extra,0.026059166658511657,0.04020667801340866,0.0010477525231365327
enet_EW,0.1053350986686435,0.1010974932878406,0.010649114430627214
