date,baseline_return,cum_return
2020-02-26,0.04876390260966166,1.0487639026096616
2020-03-04,-0.15378274452729,0.8874821113051963
2020-03-11,-0.3370980419411669,0.5883136293264019
2020-03-18,0.16706896842888436,0.6866025804906168
2020-03-25,0.005406025955385082,0.6903143718617835
2020-04-01,0.21357959810473678,0.837751437969947
2020-04-08,-0.09892226817839835,0.754879165556245
2020-04-15,0.09449181944955762,0.8262090713742185
2020-04-22,0.18631297684406548,0.9801425429575201
2020-04-29,-0.05122134092331026,0.9299383276112527
2020-05-06,-0.007905255537961581,0.9225869274969412
2020-05-13,0.044844530421075876,0.9639599050331646
2020-05-20,-0.016860779911532498,0.9477067892308587
2020-05-27,0.13702722669938822,1.0775684222833448
2020-06-03,0.008835101144273053,1.087088848284093
2020-06-10,-0.06352386243499769,1.0180327658310744
2020-06-17,-0.017031474969341646,1.0006941662618527
2020-06-24,-0.010228763971208551,0.9904583018277949
2020-07-01,0.24280571283343338,1.2309472358348845
2020-07-08,-0.004054173368545575,1.225956762333278
2020-07-15,0.017434091418614836,1.2473302046030657
2020-07-22,0.08200967073240704,1.3496233439771488
2020-07-29,0.11820939171881534,1.5091614985182011
2020-08-05,0.05374146907125493,1.5902660545143459
2020-08-12,0.018107228454099948,1.6190613652662373
2020-08-19,-0.02248001661914844,1.5826648388676312
2020-08-26,0.006799131897207109,1.5934255858561643
2020-09-02,-0.1450227617317629,1.3623426067812512
2020-09-09,-0.02881245404430296,1.3230901730307705
2020-09-16,-0.13129316055798906,1.149377482510344
2020-09-23,0.1418177413585378,1.3123796010483233
2020-09-30,-0.06233396152688687,1.230573781487906
2020-10-07,0.07167075584537617,1.3187699345306472
2020-10-14,0.0018144237464965086,1.3211627420160252
2020-10-21,-0.02133037164260318,1.2929818497284626
2020-10-28,-0.08201643844573352,1.1869360834387577
2020-11-04,0.1760998320539213,1.395955328391062
2020-11-11,0.09844830379896771,1.5333847626502928
2020-11-18,0.25454764878635844,1.9237042486677531
2020-11-25,-0.016999051003326427,1.8910031020293343
2020-12-02,-0.0645703687512546,1.7689003344215337
2020-12-09,0.09622133537270577,1.9391062867407993
2020-12-16,-0.16145712447616356,1.6260237616299789
2020-12-23,0.14661051753128015,1.864415946840709
2020-12-30,0.36535306555996605,2.545586028497849
2021-01-06,-0.000518618993809802,2.5442658392330935
2021-01-13,0.09396593687353964,2.783340162471974
2021-01-20,-0.08028080386006516,2.5598913768127196
2021-01-27,0.26650301230856616,3.242110139916032
2021-02-03,0.34050076167774423,4.346051112000579
2021-02-10,0.23410598336501925,5.36348768133011
2021-02-17,-0.02131327615038378,5.249174187248739
2021-02-24,0.008633321476466645,5.294491995493228
2021-03-03,0.04613287046388897,5.538742108893414
2021-03-10,0.1853444458993487,6.565317196045655
2021-03-17,-0.1340132239466433,5.68547787237124
2021-03-24,0.2270337482377678,6.976273224258572
2021-03-31,0.11404103647085634,7.771854653456902
2021-04-07,0.2843889939201195,9.982084579246909
2021-04-14,0.057728522628921614,10.558335574763774
2021-04-21,0.0484753680227825,11.070154777458486
2021-04-28,0.32220608989160826,14.637026062798292
2021-05-05,-0.09172974498598739,13.294375394704552
2021-05-12,-0.2950457639066427,9.371926250712272
2021-05-19,0.12106140697428038,10.506504828682692
2021-05-26,-0.04748768521271146,10.007575234692375
2021-06-02,-0.07346378064755092,9.272380922837073
2021-06-09,-0.0756442104982194,8.570978988490312
2021-06-16,-0.20721705817439334,6.794925936820812
2021-06-23,0.11336930156681786,7.565261944476442
2021-06-30,-0.03691273729025625,7.28600741778801
2021-07-07,-0.10251412535404827,6.5390887400303646
2021-07-14,-0.07601400814388745,6.042026395292093
2021-07-21,0.23242601956694414,7.446350540468246
2021-07-28,0.07900197115386,8.034626911067848
2021-08-04,0.2519232307180415,10.058736080118178
2021-08-11,0.0526136882390296,10.587963284316194
2021-08-18,0.07268077517569027,11.357504663352044
2021-08-25,0.07481573952178941,12.2072247738629
2021-09-01,-0.05873428293447032,11.49024218015016
2021-09-08,0.09919140421973405,12.629975436824072
2021-09-15,-0.12269515073685386,11.08033869680018
2021-09-22,-0.10077994294070025,9.963662795173024
2021-09-29,0.2146411531059039,12.102274866687354
2021-10-06,-0.01630992280633476,11.904887697830638
2021-10-13,0.0669372173981054,12.701767753760357
2021-10-20,-0.0018430680176278677,12.678357531846064
2021-10-27,0.12714711203063409,14.290374077312128
2021-11-03,0.005536221808117564,14.369488757925103
2021-11-10,-0.00609676974154541,14.28188129366431
2021-11-17,-0.023140938939557126,13.95138515070562
2021-11-24,-0.0003123405812159982,13.947027566958882
2021-12-01,-0.12203478703512198,12.24500502805208
2021-12-08,-0.07210998864403444,11.3620178545331
2021-12-15,0.014614450319792945,11.528067500000773
2021-12-22,-0.022476014139041985,11.268962491874925
2021-12-29,-0.01689657300840473,11.078555644401986
2022-01-05,0.014165632435302406,11.235490391574627
2022-01-12,-0.10678951847282234,10.03565778285235
2022-01-19,-0.21462823012400872,7.881722314788517
2022-01-26,-0.0034800332042514994,7.854293659426363
2022-02-02,0.27714652742868306,10.031083872541503
2022-02-09,-0.059778174626594086,9.431443989114705
2022-02-16,-0.1918292807193751,7.622216872537757
2022-02-23,0.1217238403048741,8.55002238189966
2022-03-02,-0.07400402237095334,7.917286334277406
2022-03-09,-0.0044978415191980915,7.881675635083713
2022-03-16,0.09956564438536544,8.666419748527257
2022-03-23,0.11321790136005168,9.647613604760819
2022-03-30,-0.10643982732410995,8.620723278580343
2022-04-06,-0.027256203120213124,8.385755093856208
2022-04-13,-0.0007943676607649724,8.379093721198553
